source_sheet	source_row	sample_id	trip	site	compartment	recorded_replicate	recorded_specimen_iri	confirmed_sample_id	confirmed_replicate	confirmed_specimen_iri	disposition	evidence_id	application_status
Trip 4	81	S27PRr1	4	27	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001429	S27PRr2	2	https://rubalkhali.science/kb/RAK_6001430	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	82	S28Sr1	4	28	Surface	1	https://rubalkhali.science/kb/RAK_6001435	S28Sr2	2	https://rubalkhali.science/kb/RAK_6001436	PENDING_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	not_assayed_no_physical_assignment
Trip 4	83	S28Dr2	4	28	Deep	2	https://rubalkhali.science/kb/RAK_6001433	S28Dr2	2	https://rubalkhali.science/kb/RAK_6001433	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	84	S28PRr1	4	28	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001438	S28PRr2	2	https://rubalkhali.science/kb/RAK_6001439	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	85	S29Sr1	4	29	Surface	1	https://rubalkhali.science/kb/RAK_6001444	S29Sr2	2	https://rubalkhali.science/kb/RAK_6001445	QUARANTINED_QC	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	86	S29Dr1	4	29	Deep	1	https://rubalkhali.science/kb/RAK_6001441	S29Dr2	2	https://rubalkhali.science/kb/RAK_6001442	QUARANTINED_QC	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	87	S29PRr1	4	29	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001447	S29PRr2	2	https://rubalkhali.science/kb/RAK_6001448	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	88	S30Sr1	4	30	Surface	1	https://rubalkhali.science/kb/RAK_6001453	S30Sr2	2	https://rubalkhali.science/kb/RAK_6001454	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	89	S30Dr1	4	30	Deep	1	https://rubalkhali.science/kb/RAK_6001450	S30Dr2	2	https://rubalkhali.science/kb/RAK_6001451	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	90	S30PRr1	4	30	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001456	S30PRr2	2	https://rubalkhali.science/kb/RAK_6001457	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	91	S31Sr1	4	31	Surface	1	https://rubalkhali.science/kb/RAK_6001462	S31Sr2	2	https://rubalkhali.science/kb/RAK_6001463	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	92	S31Dr1	4	31	Deep	1	https://rubalkhali.science/kb/RAK_6001459	S31Dr2	2	https://rubalkhali.science/kb/RAK_6001460	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	93	S31PRr1	4	31	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001465	S31PRr2	2	https://rubalkhali.science/kb/RAK_6001466	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	94	S32Sr1	4	32	Surface	1	https://rubalkhali.science/kb/RAK_6001471	S32Sr2	2	https://rubalkhali.science/kb/RAK_6001472	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	95	S32Dr1	4	32	Deep	1	https://rubalkhali.science/kb/RAK_6001468	S32Dr2	2	https://rubalkhali.science/kb/RAK_6001469	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	96	S32PRr1	4	32	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001474	S32PRr2	2	https://rubalkhali.science/kb/RAK_6001475	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	97	S33Sr1	4	33	Surface	1	https://rubalkhali.science/kb/RAK_6001480	S33Sr2	2	https://rubalkhali.science/kb/RAK_6001481	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
