Trip	Site	Type	shannon	richness_hurlbert_25000	evenness_h_over_log_hurlbert	evenness_h_over_log_observed	sequencing_depth	n_profiles
1	40	Deep	5.86635257452	1392.83291488	0.841136259702	0.832647105476	561862	2
1	40	Rhizosphere	5.67666723619	1070.97072918	0.813962466062	0.806689078563	606965	2
1	41	Deep	2.51599142798			0.506254717494	24318	1
1	41	Rhizosphere	5.79750041892	995.409213742	0.839833572283	0.827637128996	330261	1
1	42	Deep	6.48184244604	1396.86123531	0.895036956688	0.892665130737	148967	1
1	42	Rhizosphere	5.57294857006	995.451442966	0.809142626004	0.795183977918	617197	2
1	42	Surface	5.77880883368	1381.83487808	0.805254661515	0.794655154329	713122	3
1	43	Deep	6.4327421528	2024.16216992	0.846274222364	0.828749120611	637091	2
1	43	Rhizosphere	6.42462308471	1714.00694348	0.862760514261	0.853270854839	301967	1
1	43	Surface	5.76148793695	743.78817014	0.879598078666	0.87750536683	303582	2
1	44	Deep	6.26170542838	2269.25988364	0.810345030959	0.77959137171	737956	1
1	44	Rhizosphere	5.61017862314	641.089105996	0.871972587208	0.86965378758	284076	2
