Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
M-25-0378_22PRr1_UDP0114-UDP0114_L002_R1_001	91.5960542921163	56.0	257.0	257	50.0	0.349443
M-25-0378_22PRr1_UDP0114-UDP0114_L002_R2_001	89.40885924170752	54.0	257.0	257	41.66666666666667	0.349443
M-25-0379_22PRr3_UDP0115-UDP0115_L002_R1_001	93.97114147729222	56.0	257.0	257	41.66666666666667	0.845019
M-25-0379_22PRr3_UDP0115-UDP0115_L002_R2_001	91.43652391248007	54.0	257.0	257	50.0	0.845019
M-25-0380_23Dr1_UDP0116-UDP0116_L002_R1_001	89.31729394247638	61.0	257.0	257	41.66666666666667	0.339165
M-25-0380_23Dr1_UDP0116-UDP0116_L002_R2_001	86.72592985714917	59.0	257.0	257	41.66666666666667	0.339165
M-25-0381_23Sr2_UDP0119-UDP0119_L002_R1_001	94.70356942392064	56.0	257.0	257	50.0	1.396752
M-25-0381_23Sr2_UDP0119-UDP0119_L002_R2_001	91.32091399112987	54.0	257.0	257	50.0	1.396752
M-25-0382_24Dr1_UDP0122-UDP0122_L002_R1_001	92.27121743270146	57.0	257.0	257	50.0	0.7393919999999999
M-25-0382_24Dr1_UDP0122-UDP0122_L002_R2_001	89.92929325716264	54.0	257.0	257	41.66666666666667	0.7393919999999999
M-25-0383_24Dr2_UDP0123-UDP0123_L002_R1_001	91.75582933004702	57.0	257.0	257	41.66666666666667	0.788727
M-25-0383_24Dr2_UDP0123-UDP0123_L002_R2_001	89.03232677466347	55.0	257.0	257	41.66666666666667	0.788727
M-25-0384_24PRr2_UDP0127-UDP0127_L002_R1_001	31.707317073170728	59.0	257.0	257	41.66666666666667	8.2e-05
M-25-0384_24PRr2_UDP0127-UDP0127_L002_R2_001	53.65853658536585	57.0	257.0	257	50.0	8.2e-05
M-25-0385_25Dr1_UDP0129-UDP0129_L002_R1_001	93.24732966106467	57.0	257.0	257	41.66666666666667	1.2252189999999998
