Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
M-25-0349_15Sr1_UDP0073-UDP0073_L002_R1_001	M-25-0349_15Sr1_UDP0073-UDP0073_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1240479.0	0.0	257.0	57.0	6.472822192072579	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0349_15Sr1_UDP0073-UDP0073_L002_R2_001	M-25-0349_15Sr1_UDP0073-UDP0073_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1240479.0	0.0	257.0	54.0	7.682758031373364	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0350_15Sr3_UDP0074-UDP0074_L002_R1_001	M-25-0350_15Sr3_UDP0074-UDP0074_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99697.0	0.0	257.0	57.0	12.288233347041535	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0350_15Sr3_UDP0074-UDP0074_L002_R2_001	M-25-0350_15Sr3_UDP0074-UDP0074_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99697.0	0.0	257.0	55.0	14.803855682718636	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0351_16Dr1_UDP0078-UDP0078_L002_R1_001	M-25-0351_16Dr1_UDP0078-UDP0078_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	558459.0	0.0	257.0	58.0	7.7318120041041505	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0351_16Dr1_UDP0078-UDP0078_L002_R2_001	M-25-0351_16Dr1_UDP0078-UDP0078_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	558459.0	0.0	257.0	55.0	9.805733276749054	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0352_16Dr3_UDP0079-UDP0079_L002_R1_001	M-25-0352_16Dr3_UDP0079-UDP0079_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	181092.0	0.0	257.0	59.0	11.225785788439026	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn	warn
M-25-0352_16Dr3_UDP0079-UDP0079_L002_R2_001	M-25-0352_16Dr3_UDP0079-UDP0079_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	181092.0	0.0	257.0	57.0	16.370132308439906	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn	fail
M-25-0353_16PRr2_UDP0082-UDP0082_L002_R1_001	M-25-0353_16PRr2_UDP0082-UDP0082_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1644001.0	0.0	257.0	55.0	4.746651613958872	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0353_16PRr2_UDP0082-UDP0082_L002_R2_001	M-25-0353_16PRr2_UDP0082-UDP0082_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1644001.0	0.0	257.0	54.0	8.013523429947442	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0354_16PRr3_UDP0083-UDP0083_L002_R1_001	M-25-0354_16PRr3_UDP0083-UDP0083_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1416432.0	0.0	257.0	55.0	4.604809832028646	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
