ASV_ID	C1R1T	C1R1UT	C1R2T	C1R2UT	C1R3T	C1R3UT	C2R1T	C2R1UT	C2R2T	C2R2UT	C2R3T	C2R3UT	C2S1T	C2S1UT	C2S2T	C2S2UT	C2S3T	C2S3UT	NEGATIVER	Positive
025a3c5894a4be5d61e3288c7861fe15	4907	1001	5193	654	6731	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81d9f5f4f65206535a10c0006d7c8499	5620	705	4459	546	5745	164	12	0	18	0	22	0	0	0	0	0	0	0	0	0
8a1bdeccb2c2c87b0554108f48cbeb66	0	0	0	0	0	0	93	67	203	49	191	36	3757	2039	2549	1431	4538	1766	0	0
88ddd0dca61f60019b5e84a8159ba298	0	0	0	0	0	0	3189	1625	3128	1907	4149	2026	0	0	0	0	0	0	0	0
1ee42f68e86c31ca3302444b1e76f4f4	4173	1140	3955	809	4433	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86b7353eb55f075a0a59efe9c9866578	4909	403	4399	278	4633	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1f52dd6320126722f98db935fc381ff0	1849	515	1591	376	2453	142	1531	510	2576	328	2301	281	0	10	28	13	28	14	0	0
e3d6fabaf05c60c1a0751ae5194c681c	0	0	0	0	0	0	2324	1317	3567	1117	4636	975	0	0	0	0	0	0	0	0
c07e419926bb943ae69880c21b43a599	2446	363	2209	233	3177	40	62	47	149	0	137	0	648	957	601	625	1176	858	0	0
29a5d568099e3b712b690c2170a06345	3986	463	4001	311	4602	114	25	40	48	18	60	33	0	0	0	0	0	0	0	0
fc1eabdea51e89659bf12c9d38d8caa2	4137	236	4089	159	4961	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1cd4d0bb388725fb5d4f14f409db35c0	1988	721	2080	486	2196	165	88	31	146	26	127	28	1226	600	786	443	1455	559	0	0
f1777179cf2673da9285b7a1b8b9bee6	0	0	0	0	0	0	2461	1326	2680	1479	3390	1661	0	0	0	0	0	0	0	0
959a756a4dd770e95eb4b9d216693111	3997	196	4108	137	4320	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8b6c3a8e26b0e13145d07213352466fe	4310	500	4215	357	3295	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0
476b36268e9e20d9fba9db45193f33d2	3137	545	2940	326	3771	130	217	63	437	28	362	35	157	68	127	43	160	57	0	0
60f61faabd9143590963489232db959d	0	0	0	0	0	0	178	42	254	47	257	44	2770	1338	1902	908	3470	1128	0	0
63dfde2de2f478f5d219b9744ab021a9	254	3824	0	3539	0	3991	168	97	0	101	166	58	0	0	0	0	0	0	0	0
648902573c8922770b0b9a60f2ee376c	4108	196	4064	177	3550	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6e664d9b6acf6f51eb393184c7a3c91c	1947	439	2193	362	1906	111	539	287	1004	270	904	295	213	339	164	311	385	305	0	0
95a969f5d2b277b3c965a56fb7849979	2689	1901	2722	1120	3099	303	0	0	0	0	0	0	0	0	0	0	0	39	0	0
26581dd3b921eea8f4505683877891b2	0	0	0	0	0	0	1357	620	1854	500	2890	583	503	992	264	772	875	607	0	0
5254b2a9cdcf5eec47f1424c3a894bed	0	0	0	0	0	0	1387	314	3168	222	3114	216	923	202	656	185	1072	205	0	0
cb6f7f8eb1d22ba2e2035d70045a74d9	83	108	214	73	204	0	293	103	446	63	354	73	2000	1220	1487	804	2946	962	0	0
8afb2d25014678377602d2531a9866bd	364	374	416	248	348	89	34	17	59	29	43	17	1814	1593	1491	1289	2037	987	0	0
1c8cbc2fcc293b7cecc7ed8df0dad697	2361	203	2742	113	4183	41	0	0	85	0	82	0	388	78	246	0	350	0	0	0
0dea61d62a4f82c249356714d8330a8f	0	0	0	0	0	0	26	0	89	0	68	7	2688	856	2147	552	3250	1104	0	0
22e58642400b270619064a7b0f4840fe	0	0	0	0	0	0	99	866	117	706	345	715	140	2110	132	1499	1961	2003	0	0
06055a5d0cfeb8fd3468afbeb7d1c7a6	2860	207	2561	170	3569	50	163	35	297	19	301	28	66	0	0	0	0	0	0	0
2a11980faead7c998e252ba33f057c4f	2690	471	2998	223	3771	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0
884f148a0a76e8a736b3811d78c1297f	747	4059	730	2692	599	976	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7df5b1ce1c84b5c73f0f06d1dcead188	2206	1309	2071	959	2654	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55ac5080551b3e7fd6a58d5db9241d25	0	0	0	0	0	0	719	285	1015	250	933	221	1210	600	836	497	2278	658	0	0
d9966ee0391c5c89cd70fcc6ced9e0c2	255	133	317	97	254	29	0	71	0	0	0	0	2238	715	1756	485	2758	387	0	0
9b38d8a2d639940ee66bab53bf29bc74	0	0	0	0	0	0	113	153	165	113	184	149	2072	795	1546	612	2795	665	0	0
77ffca5af5db694b9ac0de0ce4f0af7b	0	0	0	0	0	0	1478	795	3010	557	2684	489	0	0	22	0	0	0	0	0
ce74e340ea511f6f92cf6b70da3b2a89	0	0	0	0	0	0	129	48	273	28	226	27	2059	926	1437	705	2643	505	0	0
40c7d991f97ef613f7769eb65dd45e02	376	106	405	66	858	24	14	0	26	0	35	0	866	1453	597	984	1760	1422	0	0
ab92873d71b42235c92f98532e25a4da	2150	704	2772	441	2570	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7a8e020ca5172fd4ae4ca335554656ee	0	0	0	0	0	0	1450	342	3009	239	2383	272	285	69	178	42	152	76	0	0
b8eacd5c4b81f8769a199bb5def71235	2101	268	1988	167	2258	69	213	243	367	186	343	169	0	0	0	0	0	0	0	0
b127a872c4dfa9adcf99031675931d62	34	5	22	0	19	0	4	1	5	4	3	2	2117	1063	1883	923	1614	630	0	0
8b826dc13beedf678131047ffb45102c	0	0	0	0	0	0	51	51	98	36	83	21	773	1931	558	1331	1821	1517	0	0
a1c543e7b5b5870be40f0df27d9c9e20	0	0	0	0	0	0	72	531	0	447	196	435	95	1582	99	1124	1768	1790	0	0
6228a94bf0402b1fb8bdf55d7a6c1e97	2577	405	2402	387	2148	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33f6222b98e9ccf94e8e1f889ca4945d	358	213	278	129	446	22	115	0	205	49	181	43	1684	566	1082	366	1991	250	0	0
5c61b1ca16035d9fc7b8e1c8f1e6e0e3	2368	211	2363	147	2802	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2527fc17a66c77a616ddedaf6bcaf10a	51	3399	0	2480	0	1910	0	0	0	0	0	0	0	0	0	0	0	0	0	0
408d5f3c33ebea06293c1e46b579a770	2043	744	1713	509	2203	209	35	49	71	36	81	31	0	0	27	0	0	0	0	0
383acdccdf3d19ddb6b39a2ed51d2014	1009	301	563	246	809	60	130	152	274	86	275	145	346	826	286	620	743	722	0	0
8460d063c79b15f413002d8206e11434	0	0	0	55	0	34	504	152	438	145	631	114	846	1027	871	931	956	808	0	0
c4e1ac0b4c7b763058dda0fc9b8da079	60	87	0	66	0	12	585	264	1080	175	1527	202	495	663	377	430	714	624	0	0
b973e46ae069903ce27713d89c375315	55	97	0	59	0	0	20	0	0	0	41	0	1627	832	1211	632	2299	470	0	0
cd2e55035c3969351edd08462e20eb70	1521	1369	1191	1043	1833	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0
791b31a1c6626fd3d0a10e99e63ea73f	2194	283	1916	165	2562	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68386d1a557aef5a244aa1916cab5f9b	0	0	0	0	0	0	1011	521	1323	569	1637	578	189	230	173	212	378	287	0	0
85f4cc31c0bb5f5100b2726b789c8d2f	1410	534	1412	340	1855	156	57	66	109	72	122	43	73	119	54	89	150	170	0	0
7b13e0824f0b00aaa1df918f98a49873	1869	640	1566	425	1887	173	32	75	12	43	26	32	0	0	0	0	0	0	0	0
3797dae6ed015dc3383acba2b2a4b9e3	0	0	0	0	0	0	84	358	47	304	219	384	284	1083	224	865	1722	1198	0	0
5b5701bca5bb1a08efd36868f172bbb6	1394	171	1240	107	1373	34	0	0	0	43	0	49	202	627	188	633	175	527	0	0
c245c17311bf6c1f3f7c8d4304a1589c	232	33	488	20	518	13	131	20	256	0	236	0	713	833	534	623	1336	651	0	0
d2c6ef65235ff29e09866e6d810e8f03	27	18	39	0	0	0	749	282	1834	157	1749	137	310	195	291	163	481	145	0	0
7ff0e9a2943e08cc72f699793f54f6ad	795	141	900	134	1341	31	502	266	1019	189	964	192	0	0	0	0	0	0	0	0
fc9941d35ee0550f44c67cb0c0317a2b	1960	289	1786	146	2006	63	6	0	4	0	3	0	8	29	17	27	25	22	0	0
1bba6583787188b5d26ee66c1439541f	71	802	0	554	223	136	143	388	150	353	376	345	210	700	126	483	480	841	0	0
aed66495632a8c1c1f22a61267090310	0	0	0	0	0	0	0	0	0	0	0	0	1761	451	1341	339	2168	274	0	0
0d83ff0590039c9ddf81139d0e9cb06d	1626	731	1592	594	1324	175	34	39	46	24	59	19	0	0	0	0	0	0	0	0
27b73ae4ca48effe6319e75df576875a	0	0	0	0	0	0	20	16	28	13	32	14	1199	923	840	715	1772	555	0	0
a1fed6231f904795143824e1b5bf8237	0	0	0	10	0	0	84	81	98	97	149	108	1128	586	772	513	1628	872	0	0
dd1e6bdc27faa87df2f36abf457a2fab	1960	494	1445	326	1738	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0
252d9d90b00aca21bb7940d395a27356	0	0	0	0	0	0	1138	822	1163	685	1430	683	0	61	0	58	0	60	0	0
bd4dd1be5d2c42ac8f4434537c107807	0	3	0	0	0	0	91	64	121	56	115	35	860	865	664	635	1657	691	0	0
94af8f02981f77007069918c207ade19	0	0	0	0	0	0	115	63	90	68	116	44	1283	552	761	467	1679	555	0	0
0019c59b6e5d64b249809028ccfa965e	0	0	0	0	0	0	960	669	1298	554	1852	447	0	0	0	0	0	0	0	0
e3fe08f560f9cc3cc1fdca76458b25e7	1445	441	1631	319	1815	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20ca65eb95c399f81a3b56a5ed5ea152	34	122	0	82	0	20	469	618	872	460	826	416	107	376	143	298	310	390	0	0
8a028e2b542ce5b7e6bfb7881c3db684	0	0	0	0	0	0	916	287	1324	403	1383	634	66	49	49	32	108	142	0	0
ce4f7d793958833925a2f508b16f3512	0	0	0	0	0	0	254	131	455	124	417	125	174	1168	178	720	590	957	0	0
dcc5331dbc7bb071957b076b687b470e	1299	497	1328	345	1376	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4d9feb9e75791da8e88cf02a2c8ad075	1394	208	1263	136	1860	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ed707658a094a590c34b66ff6dcbee08	0	0	0	0	0	0	533	864	321	1103	610	1296	0	0	0	0	0	0	0	0
cb0111950b440ee6095f8092c65adec7	0	0	0	0	0	0	67	440	0	363	130	391	87	906	0	587	855	900	0	0
278214d03dc198d05166236853e9849e	650	1465	491	1030	605	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f7a89929cbff258052a12f943a24a615	0	0	0	0	0	0	849	366	1425	272	1408	280	0	33	0	23	0	22	0	0
ee444b80b3b995277256a910f660f286	1511	152	1617	114	1235	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e2d7b9d1440bd10a638c77e229c7ebef	0	0	0	0	0	0	610	480	1062	316	1200	362	87	116	59	65	166	96	0	0
55bb77e49eea924fc9bc3f90e3ee2ec7	1455	157	1259	122	1245	21	26	48	39	44	45	39	0	0	0	0	0	0	0	0
75d9403fa2ba80f87f4a012772fd16ec	799	159	390	123	341	67	73	0	98	0	137	0	644	190	410	180	651	232	0	0
f352d48cd539c966711a3d66e093e653	0	0	0	0	0	0	937	575	426	816	902	822	0	0	0	0	0	0	0	0
5ad3f935e7a8f1ccd721ba9456caee29	1142	303	1133	246	1528	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bd3358833ce06aeab6cfea8376a9793d	0	0	0	0	0	0	31	121	49	120	114	122	115	1035	60	692	940	1067	0	0
0f7f44087d72d1440f5aeb5ee8406e75	0	0	0	0	0	0	888	497	426	845	883	910	0	0	0	0	0	0	0	0
b95550de051e2ed2aedbae6770ce110e	0	0	0	0	0	0	170	141	314	69	373	239	166	390	97	273	470	1734	0	0
b49e81e00768818b2d261290d855f6c1	0	0	0	0	0	0	0	0	0	0	0	0	1201	371	861	259	1471	239	0	0
57138a066dc69e48b8c0044e9e9807a0	0	0	0	0	0	0	0	0	0	0	0	0	1167	404	851	254	1413	309	0	0
6870a0a8c3fb10d6fbcf65dac1414c00	912	638	910	548	842	171	49	69	73	54	61	38	0	0	0	0	0	0	0	0
51b119d2c275c4e5ce7e476982662f21	922	394	846	360	1506	133	14	18	24	3	34	8	0	0	0	0	0	0	0	0
54e1d5a446acb5a73aac54bf72667f66	0	0	0	0	0	0	643	312	1530	170	1416	166	0	0	0	0	0	0	0	0
c57b87e7b1eb8d509ff62548852ee28c	44	0	44	8	29	0	50	21	107	16	57	13	795	656	407	522	888	507	0	0
8039834c8ada7b76b142d08d260dc689	681	440	804	332	948	76	101	89	198	39	215	43	0	0	0	52	74	71	0	0
2235e2d1b84bea43ff73d3a8644a53be	1021	98	767	77	1114	26	14	0	42	0	29	0	156	176	142	131	227	138	0	0
e5a1a698004125de65e7a819c9aae110	0	0	0	0	0	0	455	686	572	551	668	613	175	79	59	60	70	99	0	0
3176f97b167fbbd8148a56db13e0b407	608	1064	521	702	820	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0
de793c01f5c7935c2cb516f31098d280	1176	274	1138	133	1303	19	0	0	0	0	10	0	0	0	0	0	0	0	0	0
fd70d5c81d7128c0dd19fa211de263df	0	0	0	0	0	0	769	215	1448	154	1272	155	0	0	0	0	0	0	0	0
71358a8c4c532bfd8f7ff281cc0d62a0	1186	212	1063	181	1277	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cba1af06e22cbe99719355158ec87153	686	140	529	134	941	43	123	331	255	268	269	212	0	0	0	0	0	0	0	0
a5bca7a083b1eb65900f99b3b2c38568	0	0	0	0	0	0	824	355	844	403	980	460	0	0	0	0	0	0	0	0
4828660204591b57a2207b2c633e5564	0	0	0	0	0	0	20	15	29	11	24	8	716	755	439	536	872	433	0	0
5f0ff65db27b077b7a2b90a56e7a409a	846	550	881	432	956	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0d0334de43c1a6af492d2fc7496a4c11	0	0	0	0	0	0	675	603	657	514	828	536	0	0	0	0	0	0	0	0
ffc527777309d1546cd351c6f0a92c6c	834	374	818	239	1457	65	0	5	0	0	0	12	0	0	0	0	0	0	0	0
6f0d0ea6eda8549b547ee027ac54dd17	1079	71	920	32	740	19	149	25	242	0	224	23	76	19	54	0	81	19	0	0
f4e06d121c1f87ef2e78ef0fd58fcbd0	2	2	5	2	1	7	11	6	0	8	38	7	620	645	400	444	1003	558	0	0
19cd203d8bdf929b083c497888084cf7	0	0	0	0	0	0	0	0	0	0	0	0	994	315	817	217	1261	154	0	0
d8893331945a7eb68a3a4d54ff64560c	0	0	0	0	0	0	181	919	106	612	392	570	23	280	10	262	123	237	0	0
8b8e63e5e646cdb7d45eb4fbd52a2338	0	0	0	0	0	0	311	763	151	1000	301	1145	0	0	0	0	0	0	0	0
a0bf61154033d4be8ca74f58cb9ebdcd	0	0	0	39	18	0	380	255	734	159	1087	191	98	140	84	112	191	139	0	0
e765825327d7d88c47dc9bf4f1ea66e0	0	0	0	0	0	0	66	32	102	17	124	17	648	454	648	292	883	314	0	0
b4c12ee63be76728e1d35be86f3fbcf7	0	0	0	0	0	0	306	723	501	717	662	684	0	0	0	0	0	0	0	0
189274e9927ee51062a6c911b2ef35c3	0	0	0	0	0	0	97	0	163	0	138	0	621	485	455	347	821	437	0	0
cfd6444d4139b9706f9b58c7610cb502	1098	332	1189	264	583	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0
07a08d8e663370befa5de26094e96c0e	940	222	774	215	1310	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f223b745c3803bdee15cc44dfec601cc	1139	211	1208	112	854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2d01a7d711bc1c02aa5af6ba643e2396	788	270	1156	178	1041	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0
