campaign	site	position	n_profiles	group_reads	retained
5	48	Rhizosphere	1	705680	true
5	49	Deep	1	337443	true
5	50	Rhizosphere	1	286541	true
5	51	Rhizosphere	2	488154	true
5	53	Rhizosphere	1	544215	true
5	54	Rhizosphere	3	1059532	true
5	55	Deep	1	588233	true
5	55	Rhizosphere	3	2397191	true
5	55	Surface	2	624287	true
5	57	Rhizosphere	2	863794	true
5	58	Rhizosphere	3	753955	true
5	60	Rhizosphere	3	1128898	true
