trip	site	shannon	expected_richness_25k	normalized_evenness	temperature_c	pressure_mbar	relative_humidity_pct	transect_km
3	47	3.686170375	214.8073876	0.7782744683	33.2	994	17.2	301.7956702
3	48	4.971270756	719.4597117	0.7766613459	49.4	994	9.5	325.4860432
3	49	5.081008297	780.8480882	0.7885495164	34	994	13.4	346.9345123
3	50	5.771755775	1376.891259	0.8016382906	31.5	996	21.6	361.0995833
3	51	5.49785693	772.5319334	0.8317696492	35.9	994	16.5	370.4731391
3	52	3.732887334	111.1290752	0.8111878074	34.3	994	17.5	389.9085155
3	53	4.394293579	408.6140386	0.8410190646	21.9	990	35	399.3720026
3	54	4.541769496	424.3094744	0.7506482454	32.2	998	23.5	421.7455418
3	55	4.004819964	449.0821295	0.7482276529	31.3	998	14.3	425.5232533
3	56	2.69098569	68.59764349	0.6349752812	31.6	998	13.5	446.6704889
3	57	3.758603777	417.4640477	0.6844399047	34.2	996	16.3	464.8588197
3	58	4.594328108	790.4058002	0.7738300161	35.6	992	16.4	481.5214344
3	59	2.870575561	84.76000437	0.6382620691	36.8	992	14.3	485.7169022
3	60	4.539344239	258.7055281	0.823925876	37.1	992	14.3	496.6102363
4	1	5.684554618	1512.956898	0.7858083122	30.83		19.4	-517.7178161
4	2	6.327930679	1756.202569	0.8681549453	31.5		18.4	-508.601156
4	3	5.885405067	1243.285034	0.8320636003	33.61		16.5	-492.2969033
4	4	6.465418291	2267.659945	0.8377815217	35.11		15.5	-473.520626
4	5	6.010568262	1231.700429	0.8467046564	36.67		14	-461.9018782
4	6	6.62326708	2554.247985	0.8442994106	37.06		13.3	-445.8293645
4	7	6.733152687	1959.324401	0.8889928443	37.56		13	-431.6397836
4	8	6.225000854	1488.138531	0.8628970592	37.39		14.2	-415.8003027
4	9	5.723694304	1311.241916	0.8049439593	39		13.5	-395.7107504
4	10	5.24185919	1454.147347	0.7307775772	39.56		13.4	-379.2725562
4	11	6.113368164	1288.663251	0.8669891204	42		12.4	-360.8242371
4	12	6.383163881	1778.142521	0.8578679333	42.94		21.5	-339.7251328
4	13	6.617317025	1803.064944	0.8916616771	41.94		16.5	-316.1965033
4	14	5.432481224	1521.90587	0.767986608	42.56		18	-290.6183269
4	15	7.348230037	3303.887875	0.9070463437	44.11		15.2	-271.073248
4	16	6.774826097	2289.253119	0.8778828045	43.5		15.7	-255.0162042
4	17	6.362799721	1987.543102	0.8401994641	43.11		15.2	-233.6971823
4	18	5.187804288	1306.787821	0.8549577065	43.83		12.8	-210.0095507
4	19	6.732533689	2114.363367	0.8819604772	42.83		14.1	-188.4893933
4	20	6.383781578	1983.628888	0.8461266706	41.94		14.5	-168.4448291
4	21	6.13540253	1793.934423	0.8226695294	41.72		13.1	-161.4547433
4	22	6.404250152	2202.92631	0.8336026146	43.33		13	-144.181918
4	23	5.583504772	740.788919	0.890412355	44.28		12	-129.008546
4	24	6.363559283	1785.86982	0.8501626417	43.17		12.7	-115.1821155
4	25	6.211464297	1924.992315	0.8218791303	43.5		11.6	-109.3965555
4	26	5.972787456	1613.960787	0.8292006151	42.83		12.3	-95.62861051
4	27	6.4947385	2293.94258	0.8397210001	41.83		12.6	-82.47630032
4	28	6.815700595	2111.297131	0.8915657581	40.83		13.3	-63.70113915
4	29	6.881114854	2291.563128	0.8917314794	40.78		13.3	-43.16663877
4	30	6.076705258	1643.071928	0.8267162136	36.5		27.7	-31.04008344
4	31	6.063079009	1244.720294	0.8594974207	35.89		27.3	-9.181887324
4	32	6.002250864	1268.515903	0.840659924	35.72		21.9	11.86272886
4	33	6.245460799	1747.199666	0.8367424413	35.89		23	33.58954434
4	34	5.048981695	855.5184523	0.7478566856	36.39		23.5	55.94883459
4	35	6.72907303	2127.287536	0.8787524952	38.5		21.2	78.55661989
