Sample Name	FASTQ Paths
20Dr1	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0892_20Dr1_UDP0320-UDP0320_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0892_20Dr1_UDP0320-UDP0320_L002_R2_001.fastq.gz
53Sr3	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0858_53Sr3_SU0368-SU0368_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0858_53Sr3_SU0368-SU0368_L002_R2_001.fastq.gz
25Sr2	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0389_25Sr2_UDP0132-UDP0132_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0389_25Sr2_UDP0132-UDP0132_L002_R2_001.fastq.gz
12Dr2	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0887_12Dr2_UDP0303-UDP0303_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0887_12Dr2_UDP0303-UDP0303_L002_R2_001.fastq.gz
S38Sr1	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0632_S38Sr1_SU0102-SU0102_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0632_S38Sr1_SU0102-SU0102_L002_R2_001.fastq.gz
S6Sr1	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0686_S6Sr1_SU0205-SU0205_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0686_S6Sr1_SU0205-SU0205_L002_R2_001.fastq.gz
26Dr3	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0392_26Dr3_UDP0136-UDP0136_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0392_26Dr3_UDP0136-UDP0136_L002_R2_001.fastq.gz
4Dr3	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0490_4Dr3_UDP0018-UDP0018_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0490_4Dr3_UDP0018-UDP0018_L002_R2_001.fastq.gz
Extraction-Ctrl-Pro-Trip1	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0929_Extraction-Ctrl-Pro-Trip1_UDP0384-UDP0384_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0929_Extraction-Ctrl-Pro-Trip1_UDP0384-UDP0384_L002_R2_001.fastq.gz
F60Sr3	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0803_F60Sr3_SU0032-SU0032_L002_R1_001.fastq.gz;/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0803_F60Sr3_SU0032-SU0032_L002_R2_001.fastq.gz
