sample	weighted_NSTI
e734_T5Sr2	0.2240309582982677
e740_T6Sr3	0.3417954224810041
e743_T4PRr2	0.1060053095131755
e744_T8PRr3	0.1784625390681514
e752_T7PRr1	0.084997
e753_T4Sr1	0.2157348669126726
e756_T2PRr3	0.1227036243577511
e758_T7PRr3	0.303602537283355
e767_T1PRr3	0.158565093393378
e768_T5Sr1	0.1288893242277404
e8287_F1Dr1	0.005325
e8288_F1Dr2	0.1587614045665031
e8289_F1Dr3	0.1985692678097396
e8290_F1Sr1	0.1706513766232025
e8291_F1Sr2	0.1886449220502791
e8292_F1Sr3	0.3159226043300145
e8293_F1PRr1	0.34176793381704
e8295_F1PRr3	0.0966740025553638
e8296_F2Dr1	0.314812047742538
e8297_F2Dr2	0.3554817504781788
e8298_F2Dr3	0.3451433113524172
e8299_F2Sr1	0.2715167056709003
e8300_F2Sr2	0.316899951840888
e8301_F2Sr3	0.2917037996945606
e8302_F2PRr1	0.1469895802042498
e8303_F2PRr2	0.1688039135868186
e8304_F2PRr3	0.1608061320665782
e8305_F3Dr1	0.2518496539660033
e8306_F3Dr2	0.2298878764315296
e8307_F3Dr3	0.2330699179049097
e8308_F3Sr1	0.1975407699763691
e8309_F3Sr2	0.1927439714480246
e8310_F3Sr3	0.2064222057046562
e8311_F3PRr1	0.1995224799927714
e8312_F3PRr2	0.0935141675513757
e8313_F4Dr1	0.2512986417159303
e8314_F4Dr2	0.355229992283814
e8315_F4Sr1	0.1774589563253272
e8316_F4Sr2	0.1648089040812849
e8317_F4Sr3	0.1753129509795228
e8318_F4PRr1	0.1889077012245063
e8319_F4PRr2	0.2730519177143589
e8320_F5Dr2	0.2971760764479723
e8321_F5Dr3	0.3172661623263146
e8322_F5Sr1	0.1824993842517716
e8323_F5Sr2	0.1856737370479796
e8324_F5Sr3	0.1656670112964709
e8325_F5PRr2	0.1830317170663831
e8326_F6Dr1	0.1835690990059104
e8327_F6Sr1	0.1937499069857751
e8328_F6Sr2	0.2099430154308379
e8329_F6Sr3	0.1889491744287647
e8330_F6PRr1	0.228599759398841
e8331_F6PRr2	0.2137800417614074
e8332_F6PRr3	0.2277605314851655
e8333_F7Dr1	0.1512085781092053
e8334_F7Dr2	0.1728024976993999
e8335_F7Dr3	0.16510907501891
e8336_F7Sr1	0.1540315303218414
e8337_F7Sr2	0.1509190804007052
e8338_F7Sr3	0.1529695717253711
e8339_F7PRr1	0.1898645064919094
e8340_F7PRr2	0.1338982599966353
e8341_F7PRr3	0.1488757328924591
e8342_F8Dr1	0.1383360544206443
e8343_F8Dr2	0.1693081624506475
e8344_F8Dr3	0.1826108824894668
e8345_F8Sr1	0.2476577765595237
e8346_F8Sr2	0.2343546806608859
e8347_F8Sr3	0.2237111272203751
e8348_F8PRr1	0.1912481107876083
e8349_F8PRr2	0.1522329544155356
e8350_F8PRr3	0.1706197024019154
e8351_F9Dr1	0.167082952180104
e8352_F9Dr2	0.1738540158283514
e8353_F9Dr3	0.1413056568946919
e8354_F9Sr1	0.1658956031759633
e8355_F9Sr2	0.147968524262383
e8356_F9Sr3	0.1622001009554589
e8357_F9PRr1	0.0674216144818428
e8358_F9PRr2	0.1438296602854505
e8359_F9PRr3	0.1306122891622411
e8360_F10Dr1	0.1163454763383808
e8361_F10Dr2	0.1325192978598857
e8362_F10Dr3	0.1386987765176761
e8363_F10Sr1	0.1584581330860428
e8364_F10Sr2	0.1670356730149236
e8365_F10Sr3	0.1535643383745804
e8366_F10PRr1	0.0693337819779053
e8367_F10PRr2	0.1014386398002984
e8368_F11Dr1	0.2193264306437891
e8369_F11Dr2	0.2028312995250354
e8370_F11Dr3	0.1984703578106999
e8371_F11Sr1	0.0729394096508746
e8372_F11Sr2	0.1901349802642799
e8373_F11Sr3	0.1839353931475531
e8374_F1PRr2	0.0942103581971537
e8375_F11PRr1	0.1590111667117044
e8376_F12Sr3	0.1915520981493376
e8377_F13Sr2	0.1656553247893846
e8378_F14Sr1	0.1773111498799029
e8379_F15Dr3	0.1634370853578759
e8380_F16Dr2	0.2029490703435068
e8381_F17Dr1	0.1274200857362556
e8382_F17PRr3	0.1296112994170716
e8383_F18PRr2	0.1100324545499489
e8384_F19PRr1	0.1109323328995614
e8385_F20Sr3	0.2012775815649956
e8386_F21Sr2	0.1758133552074325
e8387_F11PRr2	0.1718105599533288
e8388_F12PRr1	0.1490339805895066
e8389_F13Sr3	0.1763514020320862
e8390_F14Sr2	0.1648398278248931
e8391_F15Sr1	0.1212348113696497
e8392_F16Dr3	0.2120269304605191
e8393_F17Dr2	0.2114868686595938
e8394_F18Dr1	0.2109399979160942
e8395_F18PRr3	0.0755071867795865
e8396_F19PRr2	0.0945228749972365
e8397_F20PRr1	0.2285852701168953
e8398_F21Sr3	0.5265431583018904
e8399_F11PRr3	0.1155955836020103
e8400_F12PRr2	0.1457033399310906
e8401_F13PRr1	0.1684750095490256
e8402_F14Sr3	0.1551393146374935
e8403_F15Sr2	0.1306611077228043
e8404_F16Sr1	0.1854108401223914
e8405_F17Dr3	0.2250606493197543
e8406_F18Dr2	0.1745545592786317
e8407_F19Dr1	0.1756201460717515
e8408_F19PRr3	0.0983394835768314
e8409_F20PRr2	0.2448932355422852
e8410_F21PRr1	0.2082999244843897
e8411_F12Dr1	0.3215067590500229
e8412_F12PRr3	0.0960679504062542
e8413_F13PRr2	0.1661216877218278
e8414_F14PRr1	0.1077639680283734
e8415_F15Sr3	0.1147024405627704
e8416_F16Sr2	0.1850713529382987
e8417_F17Sr1	0.2682190519994423
e8418_F18Dr3	0.2697447707774414
e8419_F19Dr2	0.1809218773598671
e8420_F20Dr1	0.3062421383243707
e8421_F20PRr3	0.2330290135847045
e8422_F21PRr2	0.4931373574910595
e8423_F12Dr2	0.3199610850796794
e8424_F13Dr1	0.2011225835529668
e8425_F13PRr3	0.1996067204644731
e8426_F14PRr2	0.0980849525021037
e8427_F15PRr1	0.1299314835676092
e8428_F16Sr3	0.1819516094606856
e8429_F17Sr2	0.2554054948177178
e8430_F18Sr1	0.1804890809508647
e8431_F19Dr3	0.1783825547139187
e8432_F20Dr2	0.3206093072022785
e8433_F21Dr1	0.3442653633556616
e8434_F21PRr3	0.4497502911338812
e8435_F13Dr2	0.2112897883741408
e8436_F14Dr1	0.1610530549700305
e8437_F14PRr3	0.0925223638223825
