picrust2_col	sample_id	trip	site	compartment	replicate	extraction_suffix	biome	feature	date	coordinates	is_control	duplicate_run
e0464_42Dr1	42Dr1	1	42.0	deep	1.0		desert biome	sand dune	19/03/2023	20.55516 N, 52.12403 E	False	False
e0466_42PRr1	42PRr1	1	42.0	plant_rhizosphere	1.0		desert biome	sand dune	19/03/2023	20.55516 N, 52.12403 E	False	False
e0467_42PRr2	42PRr2	1	42.0	plant_rhizosphere	2.0		desert biome	sand dune	19/03/2023	20.55516 N, 52.12403 E	False	False
e0468_42Sr1	42Sr1	1	42.0	surface	1.0		desert biome	sand dune	19/03/2023	20.55516 N, 52.12403 E	False	False
e0469_42Sr2	42Sr2	1	42.0	surface	2.0		desert biome	sand dune	19/03/2023	20.55516 N, 52.12403 E	False	False
e0470_43Dr1	43Dr1	1	43.0	deep	1.0		desert biome	sand dune	19/03/2023	20.567575555555557 N,52.22413277777778 E	False	False
e0471_43Dr2	43Dr2	1	43.0	deep	2.0		desert biome	sand dune	19/03/2023	20.567575555555557 N,52.22413277777778 E	False	False
e0472_43PRr2	43PRr2	1	43.0	plant_rhizosphere	2.0		desert biome	sand dune	19/03/2023	20.567575555555557 N,52.22413277777778 E	False	False
e0473_43Sr2	43Sr2	1	43.0	surface	2.0		desert biome	sand dune	19/03/2023	20.567575555555557 N,52.22413277777778 E	False	False
e0474_44Dr2	44Dr2	1	44.0	deep	2.0		desert biome	sand dune	19/03/2023	20.56783 N, 52.41036 E	False	False
e0475_44PRr3	44PRr3	1	44.0	plant_rhizosphere	3.0		desert biome	sand dune	19/03/2023	20.56783 N, 52.41036 E	False	False
e0476_45Dr3	45Dr3	1	45.0	deep	3.0		desert biome	sand dune	19/03/2023	20.56346 N, 52.46776 E	False	False
e0477_45PRr2	45PRr2	1	45.0	plant_rhizosphere	2.0		desert biome	sand dune	19/03/2023	20.56346 N, 52.46776 E	False	False
e0478_46PRr1	46PRr1	1	46.0	plant_rhizosphere	1.0		desert biome	sand dune	19/03/2023	20.553746111111113 N,52.66920777777778 E	False	False
e0480_47Dr2	47Dr2	1	47.0	deep	2.0		desert biome	sand dune	19/03/2023	20.54181555555556 N,52.868785833333334 E	False	False
e0481_47Dr3	47Dr3	1	47.0	deep	3.0		desert biome	sand dune	19/03/2023	20.54181555555556 N,52.868785833333334 E	False	False
e0482_47PRr1	47PRr1	1	47.0	plant_rhizosphere	1.0		desert biome	sand dune	19/03/2023	20.54181555555556 N,52.868785833333334 E	False	False
e0483_47Sr1	47Sr1	1	47.0	surface	1.0		desert biome	sand dune	19/03/2023	20.54181555555556 N,52.868785833333334 E	False	False
e0484_48Dr2	48Dr2	1	48.0	deep	2.0		desert biome	desert oasis	19/03/2023	20.568648333333332 N,53.09404833333333 E	False	False
e0486_48Sr2	48Sr2	1	48.0	surface	2.0		desert biome	desert oasis	19/03/2023	20.568648333333332 N,53.09404833333333 E	False	False
e0487_49Dr2	49Dr2	1	49.0	deep	2.0		desert biome	sand dune	19/03/2023	20.644662222222223 N,53.28794 E	False	False
e0488_49Sr2	49Sr2	1	49.0	surface	2.0		desert biome	sand dune	19/03/2023	20.644662222222223 N,53.28794 E	False	False
e0489_49Sr3	49Sr3	1	49.0	surface	3.0		desert biome	sand dune	19/03/2023	20.644662222222223 N,53.28794 E	False	False
e0490_4Dr3	4Dr3	1	4.0	deep	3.0		desert biome	saline pan	17/03/2023	19.379571666666667 N,45.55182694444444 E	False	False
e0491_4PRr1	4PRr1	1	4.0	plant_rhizosphere	1.0		desert biome	saline pan	17/03/2023	19.379571666666667 N,45.55182694444444 E	False	False
e0492_4PRr2	4PRr2	1	4.0	plant_rhizosphere	2.0		desert biome	saline pan	17/03/2023	19.379571666666667 N,45.55182694444444 E	False	False
e0493_4PRr3	4PRr3	1	4.0	plant_rhizosphere	3.0		desert biome	saline pan	17/03/2023	19.379571666666667 N,45.55182694444444 E	False	False
e0494_4Sr1	4Sr1	1	4.0	surface	1.0		desert biome	saline pan	17/03/2023	19.379571666666667 N,45.55182694444444 E	False	False
e0495_50Dr1	50Dr1	1	50.0	deep	1.0		desert biome	sand dune	20/03/2023	20.71385 N, 53.41230 E	False	False
e0496_50Dr2	50Dr2	1	50.0	deep	2.0		desert biome	sand dune	20/03/2023	20.71385 N, 53.41230 E	False	False
e0497_50PRr2	50PRr2	1	50.0	plant_rhizosphere	2.0		desert biome	sand dune	20/03/2023	20.71385 N, 53.41230 E	False	False
e0498_50Sr1	50Sr1	1	50.0	surface	1.0		desert biome	sand dune	20/03/2023	20.71385 N, 53.41230 E	False	False
e0499_50Sr3	50Sr3	1	50.0	surface	3.0		desert biome	sand dune	20/03/2023	20.71385 N, 53.41230 E	False	False
e0500_51Dr1	51Dr1	1	51.0	deep	1.0		desert biome	saline pan	20/03/2023	20.79870 N, 53.48700 E	False	False
e0501_51Dr3	51Dr3	1	51.0	deep	3.0		desert biome	saline pan	20/03/2023	20.79870 N, 53.48700 E	False	False
e0502_51PRr3	51PRr3	1	51.0	plant_rhizosphere	3.0		desert biome	saline pan	20/03/2023	20.79870 N, 53.48700 E	False	False
e0503_52Dr1	52Dr1	1	52.0	deep	1.0		desert biome	saline pan	20/03/2023	20.851514166666668 N,53.75788444444444 E	False	False
e0504_53Dr2	53Dr2	1	53.0	deep	2.0		desert biome	sand dune	20/03/2023	20.851514166666668 N,53.75788444444444 E	False	False
e0505_53Dr3	53Dr3	1	53.0	deep	3.0		desert biome	sand dune	20/03/2023	20.851514166666668 N,53.75788444444444 E	False	False
e0506_53PRr2	53PRr2	1	53.0	plant_rhizosphere	2.0		desert biome	sand dune	20/03/2023	20.851514166666668 N,53.75788444444444 E	False	False
