sampleID	forwardReads	reverseReads	run	source_sample_name	biosample_accession	experiment_accession	library_name	bioproject	umbrella_project	campaign	compartment	is_control	in_ledger
S16Dr1	${EQ_READS_DIR}/ERR16061229_1.fastq.gz	${EQ_READS_DIR}/ERR16061229_2.fastq.gz	ERR16061229	S16Dr1	ERS28392495	ERX15451411	S16Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
S16PRr1	${EQ_READS_DIR}/ERR16061230_1.fastq.gz	${EQ_READS_DIR}/ERR16061230_2.fastq.gz	ERR16061230	S16PRr1	ERS28392496	ERX15451412	S16PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Rhizosphere	False	True
S16Sr1	${EQ_READS_DIR}/ERR16061231_1.fastq.gz	${EQ_READS_DIR}/ERR16061231_2.fastq.gz	ERR16061231	S16Sr1	ERS28392497	ERX15451413	S16Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Surface	False	True
S17Dr1	${EQ_READS_DIR}/ERR16061232_1.fastq.gz	${EQ_READS_DIR}/ERR16061232_2.fastq.gz	ERR16061232	S17Dr1	ERS28392498	ERX15451414	S17Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
S17PRr1	${EQ_READS_DIR}/ERR16061233_1.fastq.gz	${EQ_READS_DIR}/ERR16061233_2.fastq.gz	ERR16061233	S17PRr1	ERS28392499	ERX15451415	S17PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Rhizosphere	False	True
S17Sr1	${EQ_READS_DIR}/ERR16061234_1.fastq.gz	${EQ_READS_DIR}/ERR16061234_2.fastq.gz	ERR16061234	S17Sr1	ERS28392500	ERX15451416	S17Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Surface	False	True
S19Dr1	${EQ_READS_DIR}/ERR16061235_1.fastq.gz	${EQ_READS_DIR}/ERR16061235_2.fastq.gz	ERR16061235	S19Dr1	ERS28392501	ERX15451417	S19Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
S19PRr1	${EQ_READS_DIR}/ERR16061236_1.fastq.gz	${EQ_READS_DIR}/ERR16061236_2.fastq.gz	ERR16061236	S19PRr1	ERS28392502	ERX15451418	S19PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Rhizosphere	False	True
S19Sr1	${EQ_READS_DIR}/ERR16061237_1.fastq.gz	${EQ_READS_DIR}/ERR16061237_2.fastq.gz	ERR16061237	S19Sr1	ERS28392503	ERX15451419	S19Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Surface	False	True
S20Dr1	${EQ_READS_DIR}/ERR16061238_1.fastq.gz	${EQ_READS_DIR}/ERR16061238_2.fastq.gz	ERR16061238	S20Dr1	ERS28392504	ERX15451420	S20Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
