sampleID,forwardReads,reverseReads,run
S30Dr1,${EQ_READS_DIR}/ERR16061268_1.fastq.gz,${EQ_READS_DIR}/ERR16061268_2.fastq.gz,ERR16061268
S30PRr1,${EQ_READS_DIR}/ERR16061269_1.fastq.gz,${EQ_READS_DIR}/ERR16061269_2.fastq.gz,ERR16061269
S30Sr1,${EQ_READS_DIR}/ERR16061270_1.fastq.gz,${EQ_READS_DIR}/ERR16061270_2.fastq.gz,ERR16061270
S31Dr1,${EQ_READS_DIR}/ERR16061271_1.fastq.gz,${EQ_READS_DIR}/ERR16061271_2.fastq.gz,ERR16061271
S31PRr1,${EQ_READS_DIR}/ERR16061272_1.fastq.gz,${EQ_READS_DIR}/ERR16061272_2.fastq.gz,ERR16061272
S31Sr1,${EQ_READS_DIR}/ERR16061273_1.fastq.gz,${EQ_READS_DIR}/ERR16061273_2.fastq.gz,ERR16061273
S32Dr1,${EQ_READS_DIR}/ERR16061274_1.fastq.gz,${EQ_READS_DIR}/ERR16061274_2.fastq.gz,ERR16061274
S32PRr1,${EQ_READS_DIR}/ERR16061275_1.fastq.gz,${EQ_READS_DIR}/ERR16061275_2.fastq.gz,ERR16061275
S32Sr1,${EQ_READS_DIR}/ERR16061276_1.fastq.gz,${EQ_READS_DIR}/ERR16061276_2.fastq.gz,ERR16061276
S33Dr1,${EQ_READS_DIR}/ERR16061277_1.fastq.gz,${EQ_READS_DIR}/ERR16061277_2.fastq.gz,ERR16061277
S33PRr1,${EQ_READS_DIR}/ERR16061278_1.fastq.gz,${EQ_READS_DIR}/ERR16061278_2.fastq.gz,ERR16061278
S33Sr1,${EQ_READS_DIR}/ERR16061279_1.fastq.gz,${EQ_READS_DIR}/ERR16061279_2.fastq.gz,ERR16061279
S34PRr1,${EQ_READS_DIR}/ERR16061280_1.fastq.gz,${EQ_READS_DIR}/ERR16061280_2.fastq.gz,ERR16061280
S34Sr1,${EQ_READS_DIR}/ERR16061281_1.fastq.gz,${EQ_READS_DIR}/ERR16061281_2.fastq.gz,ERR16061281
S35Dr1,${EQ_READS_DIR}/ERR16061282_1.fastq.gz,${EQ_READS_DIR}/ERR16061282_2.fastq.gz,ERR16061282
S35PRr1,${EQ_READS_DIR}/ERR16061283_1.fastq.gz,${EQ_READS_DIR}/ERR16061283_2.fastq.gz,ERR16061283
S35Sr1,${EQ_READS_DIR}/ERR16061284_1.fastq.gz,${EQ_READS_DIR}/ERR16061284_2.fastq.gz,ERR16061284
S36Dr1,${EQ_READS_DIR}/ERR16061285_1.fastq.gz,${EQ_READS_DIR}/ERR16061285_2.fastq.gz,ERR16061285
S36PRr1,${EQ_READS_DIR}/ERR16061286_1.fastq.gz,${EQ_READS_DIR}/ERR16061286_2.fastq.gz,ERR16061286
S36Sr1,${EQ_READS_DIR}/ERR16061287_1.fastq.gz,${EQ_READS_DIR}/ERR16061287_2.fastq.gz,ERR16061287
S37Dr1,${EQ_READS_DIR}/ERR16061288_1.fastq.gz,${EQ_READS_DIR}/ERR16061288_2.fastq.gz,ERR16061288
S37PRr1,${EQ_READS_DIR}/ERR16061289_1.fastq.gz,${EQ_READS_DIR}/ERR16061289_2.fastq.gz,ERR16061289
S37Sr1,${EQ_READS_DIR}/ERR16061290_1.fastq.gz,${EQ_READS_DIR}/ERR16061290_2.fastq.gz,ERR16061290
