	depth	richness_raw	richness_rare	shannon	pielou	Trip	Site	Type	Season
e0534_64Dr3	104449.0	1041	1010.4212120399832	5.90997772944636	0.8542747941117529	1	64	Deep	Spring
e0535_64PRr2	2823.0	61		3.0183066126193108		1	64	Rhizosphere	Spring
e0536_64PRr3	21605.0	228		3.4467772282170186		1	64	Rhizosphere	Spring
e0537_64Sr1	124927.0	1795	1725.223374977259	6.695570986117663	0.8983591221186498	1	64	Surface	Spring
e0538_64Sr2	268375.0	2653	2385.1532258091966	6.944369682098104	0.8929346832520573	1	64	Surface	Spring
e0539_64Sr3	224078.0	1788	1619.486878504621	5.318332682517336	0.7196793100009778	1	64	Surface	Spring
e0540_6Dr1	963407.0	4284	3183.993258088441	7.217200723625958	0.8947802963483164	1	6	Deep	Spring
e0541_6PRr2	852292.0	2780	2006.2575972541501	5.998356953042093	0.788839577650148	1	6	Rhizosphere	Spring
e0542_6Sr2	519335.0	2047	1583.2520341347379	5.872180048747612	0.7970668838851832	1	6	Surface	Spring
e0543_7Sr1	148007.0	1276	1209.789209388954	4.50484359887725	0.6346457834422028	1	7	Surface	Spring
e0544_7Sr2	53896.0	552	549.6134662201517	4.005569337181843	0.6348760001437859	1	7	Surface	Spring
e0545_8Sr3	31544.0	619	618.5357759863681	5.5203769155703375	0.8588878141885264	1	8	Surface	Spring
e0546_9Dr1	318005.0	1547	1472.9133583546416	6.561909712696564	0.8995081392903395	1	9	Deep	Spring
e0547_9Dr3	254617.0	2264	2033.724358358254	6.515116310909314	0.8552688171284092	1	9	Deep	Spring
e0548_9PRr2	462436.0	1090	1007.9952969046202	5.799661496283749	0.8386202039714333	1	9	Rhizosphere	Spring
e0549_9PRr3	19514.0	597		5.795784160637254		1	9	Rhizosphere	Spring
e0550_9Sr1	366332.0	2247	1983.0914919870515	6.314880398953704	0.8317357090243817	1	9	Surface	Spring
e0551_9Sr2	282631.0	2478	2055.703729317989	6.156827927397074	0.8070957609448031	1	9	Surface	Spring
e0552_9Sr3	129533.0	1424	1372.5763686241082	6.0903806810943735	0.843024043791345	1	9	Surface	Spring
e0592_S22PRr1	527445.0	2061	1786.8738938387062	6.094239619535446	0.8138432395893552	4	22	Rhizosphere	Summer
e0593_S22Sr1	412497.0	3294	2895.8859628299656	7.029118046914952	0.8818312823691943	4	22	Surface	Summer
e0594_S22Dr1	478018.0	2227	1926.0190723420205	6.089392790651319	0.8051333219903947	4	22	Deep	Summer
e0595_S28PRr1	381757.0	2336	2128.5050659590997	6.932255725977208	0.9046192441670851	4	28	Rhizosphere	Summer
e0596_S28Sr1	475638.0	2849	2479.1185876035984	6.93558504788543	0.8873961375401372	4	28	Surface	Summer
e0597_S28Dr2	446785.0	1884	1726.2677386300006	6.579261011245471	0.8826818926004512	4	28	Deep	Summer
e0598_S35PRr1	349063.0	2442	2085.162286000224	6.427316160455464	0.8409853331191789	4	35	Rhizosphere	Summer
e0599_S35Sr1	702152.0	2784	2403.140740368455	6.937787471548251	0.8912273271468414	4	35	Surface	Summer
e0600_S35Dr1	400056.0	2034	1893.5595806603046	6.822115456776757	0.9040448251900501	4	35	Deep	Summer
e0601_S43PRr1	223024.0	282	233.72118372025548	2.948938821645985	0.5406800765525793	4	43	Rhizosphere	Summer
e0602_S43Sr1	460770.0	759	723.3584916878349	6.029437499795585	0.915784410044014	4	43	Surface	Summer
e0603_S43Dr1	437288.0	1281	1164.0694615101002	6.02962089500102	0.8540929900365137	4	43	Deep	Summer
e0604_S53PRr1	63649.0	58	57.19172696524081	2.953391193251761	0.7298795073690145	4	53	Rhizosphere	Summer
e0605_S53Sr1	44735.0	4	4.0	0.5102248813375088	0.36804945302189185	4	53	Surface	Summer
e0606_S53Dr1	15697.0	5		0.8404828965959705		4	53	Deep	Summer
e0607_S46PRr1	97674.0	778	757.8995546844463	5.364712600954548	0.8090900306166681	4	46	Rhizosphere	Summer
e0608_S46Sr1	53792.0	108	107.51458302645985	3.8740232257258436	0.8282027712860617	4	46	Surface	Summer
e0609_S46Dr1	321601.0	1897	1645.8661274449414	5.901089748619366	0.7967961359098336	4	46	Deep	Summer
e0610_S47PRr1	468453.0	1586	1442.6969165843414	6.242529425632803	0.8581658166354375	4	47	Rhizosphere	Summer
e0611_S47Sr1	467362.0	888	826.5542506731794	5.287629268342009	0.7871699020550654	4	47	Surface	Summer
e0612_S47Dr1	181613.0	206	190.12755778750227	4.02333155322156	0.7666854489570861	4	47	Deep	Summer
e0613_S58PRr1	85984.0	78	74.07064915731222	2.6021213518616264	0.6044389436203258	4	58	Rhizosphere	Summer
e0614_S58Sr1	90160.0	73	67.55426708200372	2.970587878474676	0.7051118841339613	4	58	Surface	Summer
