Trip	Site	Type	elemental_pc1
4	39	Surface	-0.4703547997
4	40	Deep	-0.7721987777
4	40	Surface	-0.6424635824
4	41	Deep	2.253899116
4	41	Rhizosphere	0.09115248255
4	41	Surface	1.714866427
4	42	Deep	1.719219171
4	42	Rhizosphere	2.425599851
4	42	Surface	0.1218316447
4	43	Deep	1.133830494
4	43	Rhizosphere	-1.015253298
4	43	Surface	-0.7353043172
4	44	Deep	0.4702104458
4	44	Rhizosphere	2.232221976
4	44	Surface	1.268042081
4	45	Deep	3.290997226
4	45	Rhizosphere	1.416424944
4	45	Surface	-1.790170135
4	46	Deep	2.604679705
4	46	Rhizosphere	-0.0006580467269
4	46	Surface	1.357482893
4	47	Deep	0.6107039923
4	47	Rhizosphere	1.077848939
4	47	Surface	-0.7844826766
4	48	Deep	0.0113728146
4	48	Rhizosphere	0.1015921564
4	48	Surface	-1.197165632
4	49	Deep	10.22152279
4	49	Rhizosphere	2.161232614
4	49	Surface	3.035567414
4	50	Deep	0.6856948951
4	50	Rhizosphere	1.078976574
4	50	Surface	-1.262489046
4	51	Deep	-0.3429036368
4	51	Rhizosphere	-0.7218523509
4	51	Surface	-1.753101596
4	52	Deep	3.140657084
4	52	Rhizosphere	2.388946414
4	52	Surface	0.7665793235
4	53	Deep	0.510443836
4	53	Rhizosphere	-0.7053685353
4	53	Surface	2.465915415
4	54	Deep	1.720390731
4	54	Rhizosphere	2.069055102
4	54	Surface	1.804266962
4	55	Deep	8.03918446
4	55	Rhizosphere	6.507244508
4	55	Surface	5.969035374
4	56	Deep	4.036256483
4	56	Rhizosphere	2.295154227
4	56	Surface	3.681174294
4	57	Rhizosphere	1.197173666
4	57	Surface	0.4708983548
4	58	Deep	5.121509444
4	58	Rhizosphere	3.527085934
4	58	Surface	1.691008752
4	59	Deep	5.904429353
4	59	Rhizosphere	1.254414301
4	59	Surface	3.63353477
4	60	Deep	-0.1313235168
4	60	Rhizosphere	-1.167123411
4	60	Surface	0.8445976511
5	1	Deep	-0.1550736861
5	1	Rhizosphere	-1.846086509
5	2	Deep	-1.286174069
