Trip	Site	Type	n_profiles	shannon	sequencing_depth	log_sequencing_depth	dna_kit	kit_recorded
3	35	Rhizosphere	3	6.288570423	838068	13.63885452	PowerSoil	true
3	35	Surface	3	5.879853024	1897807	14.45620957	PowerSoil	true
3	36	Deep	3	6.709803723	1235820	14.02724528	PowerSoil	true
3	36	Rhizosphere	3	5.324104948	874257	13.68112966	PowerSoil	true
3	36	Surface	2	5.835601317	1123972	13.9323794	PowerSoil	true
3	37	Deep	3	6.006169764	1038143	13.8529441	PowerSoil	true
3	37	Rhizosphere	3	4.430847713	2157407	14.5844176	PowerSoil	true
3	37	Surface	3	6.29050351	1937965	14.47714901	PowerSoil	true
3	38	Deep	2	5.899199893	1317875	14.09153115	PowerSoil	true
3	38	Rhizosphere	3	5.471903285	2316175	14.65542768	PowerSoil	true
3	38	Surface	3	6.230482423	2230808	14.61787441	PowerSoil	true
3	39	Deep	2	5.64527108	1398629	14.15100303	PowerSoil	true
3	39	Rhizosphere	2	5.141956243	691821	13.44708253	PowerSoil	true
3	39	Surface	3	5.497981634	1155729	13.96024187	PowerSoil	true
3	40	Deep	4	6.022109201	2065404	14.54083641	PowerSoil	true
3	40	Rhizosphere	3	6.004055051	988325	13.80376687	PowerSoil	true
3	40	Surface	3	5.973153131	790597	13.58054364	PowerSoil	true
3	41	Deep	2	3.741664225	775912	13.56179439	PowerSoil	true
3	41	Rhizosphere	2	5.605245988	687287	13.44050724	PowerSoil	true
3	42	Deep	3	6.48143503	1533695	14.24319041	PowerSoil	true
3	42	Rhizosphere	3	5.640502011	929403	13.74229772	PowerSoil	true
3	42	Surface	3	5.502720269	3590202	15.09371903	PowerSoil	true
3	43	Deep	4	5.635999304	1924385	14.47011699	PowerSoil	true
3	43	Rhizosphere	3	6.017551654	818343	13.61503684	PowerSoil	true
3	43	Surface	3	5.173424002	1325632	14.09739988	PowerSoil	true
3	44	Deep	3	6.062959607	1525486	14.23782361	PowerSoil	true
3	44	Rhizosphere	3	4.276685979	705893	13.46721895	PowerSoil	true
3	44	Surface	3	5.793884984	1636698	14.30819136	PowerSoil	true
3	45	Deep	3	5.96278905	1025217	13.84041486	PowerSoil	true
3	45	Rhizosphere	3	6.705176788	648066	13.38174782	PowerSoil MoBio	true
3	45	Surface	3	4.479381053	828286	13.62711378	mixed_within_group	false
3	46	Deep	1	5.721940516	202959	12.22075927	PowerSoil MoBio	true
