profile	role	campaign	compartment	total_reads	removed_reads	removed_read_fraction	total_features	removed_features
e740_T6Sr3	biological	Trip2	surface	1406593	7796	0.005542	2232	20
e743_T4PRr2	biological	Trip2	root-adjacent	80	0	0.000000	12	0
e744_T8PRr3	biological	Trip2	root-adjacent	619986	3343	0.005392	3341	23
e752_T7PRr1	biological	Trip2	root-adjacent	3	0	0.000000	1	0
e753_T4Sr1	biological	Trip2	surface	226775	186	0.000820	1810	4
e756_T2PRr3	biological	Trip2	root-adjacent	662013	13214	0.019960	2837	15
e758_T7PRr3	biological	Trip2	root-adjacent	573620	8821	0.015378	3086	33
e767_T1PRr3	biological	Trip2	root-adjacent	470193	3686	0.007839	1982	9
e768_T5Sr1	biological	Trip2	surface	1082336	10991	0.010155	3354	19
e8287_F1Dr1	biological	Trip3	deep	65186	65186	1.000000	1	1
e8288_F1Dr2	biological	Trip3	deep	245876	2163	0.008797	2340	16
e8289_F1Dr3	biological	Trip3	deep	292153	341	0.001167	2493	9
e8290_F1Sr1	biological	Trip3	surface	359728	672	0.001868	1930	4
e8291_F1Sr2	biological	Trip3	surface	225120	235	0.001044	2005	7
e8292_F1Sr3	biological	Trip3	surface	20899	573	0.027418	621	8
e8293_F1PRr1	biological	Trip3	root-adjacent	25526	684	0.026796	730	10
e8295_F1PRr3	biological	Trip3	root-adjacent	106346	2725	0.025624	1198	10
e8296_F2Dr1	biological	Trip3	deep	100426	799	0.007956	2252	13
e8297_F2Dr2	biological	Trip3	deep	181585	3118	0.017171	2800	19
e8298_F2Dr3	biological	Trip3	deep	115610	1507	0.013035	2455	17
e8299_F2Sr1	biological	Trip3	surface	126413	910	0.007199	2237	9
e8300_F2Sr2	biological	Trip3	surface	117996	705	0.005975	2179	7
e8301_F2Sr3	biological	Trip3	surface	84084	528	0.006279	1983	9
e8302_F2PRr1	biological	Trip3	root-adjacent	71876	0	0.000000	528	0
e8303_F2PRr2	biological	Trip3	root-adjacent	82212	202	0.002457	1460	6
e8304_F2PRr3	biological	Trip3	root-adjacent	92968	87	0.000936	1565	4
e8305_F3Dr1	biological	Trip3	deep	947140	1527	0.001612	3474	10
e8306_F3Dr2	biological	Trip3	deep	604120	2337	0.003868	4049	12
e8307_F3Dr3	biological	Trip3	deep	559759	1928	0.003444	3538	12
e8308_F3Sr1	biological	Trip3	surface	442560	1972	0.004456	2692	12
e8309_F3Sr2	biological	Trip3	surface	411830	1020	0.002477	3648	12
e8310_F3Sr3	biological	Trip3	surface	596714	3557	0.005961	2873	13
e8311_F3PRr1	biological	Trip3	root-adjacent	242775	3697	0.015228	2938	6
e8312_F3PRr2	biological	Trip3	root-adjacent	245510	14783	0.060213	1963	5
e8313_F4Dr1	biological	Trip3	deep	88184	896	0.010161	1676	16
e8314_F4Dr2	biological	Trip3	deep	142014	1309	0.009217	2106	20
e8315_F4Sr1	biological	Trip3	surface	99243	2010	0.020253	2068	22
e8316_F4Sr2	biological	Trip3	surface	39522	863	0.021836	1191	15
e8317_F4Sr3	biological	Trip3	surface	134267	2436	0.018143	2449	27
e8318_F4PRr1	biological	Trip3	root-adjacent	130184	2360	0.018128	1803	18
e8319_F4PRr2	biological	Trip3	root-adjacent	54274	502	0.009249	1122	7
e8320_F5Dr2	biological	Trip3	deep	86938	1347	0.015494	1424	12
e8321_F5Dr3	biological	Trip3	deep	70801	1714	0.024209	1200	14
e8322_F5Sr1	biological	Trip3	surface	157478	221	0.001403	2301	6
e8323_F5Sr2	biological	Trip3	surface	165773	54	0.000326	2030	4
e8324_F5Sr3	biological	Trip3	surface	174865	54	0.000309	2213	3
e8325_F5PRr2	biological	Trip3	root-adjacent	70036	685	0.009781	1341	14
e8326_F6Dr1	biological	Trip3	deep	418339	925	0.002211	3270	9
e8327_F6Sr1	biological	Trip3	surface	523646	1002	0.001914	852	3
e8328_F6Sr2	biological	Trip3	surface	533756	1246	0.002334	2225	13
e8329_F6Sr3	biological	Trip3	surface	790945	1407	0.001779	1924	9
e8330_F6PRr1	biological	Trip3	root-adjacent	310850	341	0.001097	2513	6
e8331_F6PRr2	biological	Trip3	root-adjacent	293785	1248	0.004248	2907	18
e8332_F6PRr3	biological	Trip3	root-adjacent	383731	910	0.002371	2117	14
e8333_F7Dr1	biological	Trip3	deep	416799	981	0.002354	2268	14
e8334_F7Dr2	biological	Trip3	deep	278908	3446	0.012355	2343	25
e8335_F7Dr3	biological	Trip3	deep	429300	2506	0.005837	2688	22
e8336_F7Sr1	biological	Trip3	surface	320810	615	0.001917	2238	10
e8337_F7Sr2	biological	Trip3	surface	299452	739	0.002468	2179	11
e8338_F7Sr3	biological	Trip3	surface	386671	914	0.002364	2463	20
e8339_F7PRr1	biological	Trip3	root-adjacent	465559	5483	0.011777	3043	31
e8340_F7PRr2	biological	Trip3	root-adjacent	302418	7778	0.025719	2290	24
e8341_F7PRr3	biological	Trip3	root-adjacent	274655	8771	0.031935	2660	26
e8342_F8Dr1	biological	Trip3	deep	582742	2829	0.004855	1167	6
e8343_F8Dr2	biological	Trip3	deep	562919	2323	0.004127	1685	11
e8344_F8Dr3	biological	Trip3	deep	862464	2840	0.003293	1109	6
e8345_F8Sr1	biological	Trip3	surface	970816	7583	0.007811	1862	14
