site_a	site_b	geographic_distance_km	compartment	compartment_label	aitchison_dissimilarity
10	55	805.0138729	Surface	Surface	44.61995907
10	56	825.9632639	Surface	Surface	32.0148293
10	57	844.1629284	Surface	Surface	40.70148968
10	58	860.9859911	Surface	Surface	38.05832514
10	59	865.2201912	Surface	Surface	37.71233007
10	60	876.0353361	Surface	Surface	32.82580481
11	12	21.0993455	Surface	Surface	21.51514223
11	13	44.64834541	Surface	Surface	23.69589265
11	14	70.25049805	Surface	Surface	29.42999427
11	15	89.78736701	Surface	Surface	24.44457367
11	16	105.8522078	Surface	Surface	23.24872648
11	17	127.1565614	Surface	Surface	27.95437382
11	18	150.887582	Surface	Surface	22.96792996
11	19	172.6169045	Surface	Surface	27.47779402
11	20	192.7807043	Surface	Surface	21.90748966
11	21	199.9125832	Surface	Surface	24.32358212
11	22	217.5884771	Surface	Surface	23.144964
11	23	233.2050974	Surface	Surface	24.55401928
11	24	247.2063785	Surface	Surface	25.45602851
11	25	252.9323984	Surface	Surface	32.23264604
11	26	266.9404482	Surface	Surface	27.59359402
11	27	280.4471703	Surface	Surface	34.34816299
11	28	299.2111859	Surface	Surface	28.16870964
11	29	319.4000064	Surface	Surface	29.60215175
11	30	331.3483114	Surface	Surface	25.11477296
11	31	353.0051456	Surface	Surface	32.15425298
11	32	373.8079715	Surface	Surface	35.7544066
11	33	395.2504265	Surface	Surface	29.22066121
11	34	417.4995321	Surface	Surface	31.82782073
11	35	440.0112847	Surface	Surface	31.50811943
11	36	483.5174393	Surface	Surface	30.3159572
11	37	504.6622116	Surface	Surface	30.48682993
11	38	507.4132304	Surface	Surface	28.00305234
11	39	531.7722782	Surface	Surface	32.19041139
11	40	555.9319124	Surface	Surface	30.4325415
11	41	568.0516757	Surface	Surface	37.83000975
11	42	586.5857747	Surface	Surface	29.93792465
11	43	597.1034788	Surface	Surface	33.78565522
11	44	616.1590346	Surface	Surface	29.84308157
11	45	621.9394689	Surface	Surface	33.79855656
